Timestamp,"According to you, how important is the Reproducibility and Replicability of Geographical research to ... [Your own research]","According to you, how important is the Reproducibility and Replicability of Geographical research to ... [Our Department]","According to you, how important is the Reproducibility and Replicability of Geographical research to ... [The future of Geographical research]",How much do you consider Reproducibility and Replicability in your own research?,Do you publish your code/data/reproducible examples of your research? (Multiple choice),Please tell us what restricts you from publishing your code/data/reproducible examples of your research? (Multiple choice),Tell us which Research Group/Geography Branch do you identify with. (Multiple choice),"Tell us what you think about R&R. What would help you to develope better R&R practice? What would help our department to be better in R&R? Is this even relevant?"""
16/03/2021 17:00:48,Important,Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","My peers (the colaborators on my research do not have the skills, tools, knowldedge,...)",Physical Geography,Greater awareness of the wide range of open-source research management tools and code libraries 
17/03/2021 08:01:54,Very Important,Very Important,Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,"Physical Geography, Glaciology Centre",I now submit all data and associated code to polar data repositories to allow reproduction of all analyses and figures in my publications. I don’t find this to be a problem but I think some people less familiar with scripting are daunted by releasing their code. Perhaps a coding clinic or something similar specific for reviewing code pre release might help and remove some anxiety toward this. 
17/03/2021 15:59:11,Very Important,Very Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,Physical Geography,
16/03/2021 16:11:47,Very Important,Very Important,Very Important,2,I don't do any of that,No restrictions,Human Geography,
16/03/2021 16:22:59,Not Important,Moderately Important,Slightly Important,1,I don't do any of that,No restrictions,"Human Geography, Historical and Cultural Research Group, Political Economy",Never thought about it in these terms before now and don't deem it of significance to what I research or teach. I can see how it might be relevant to some.
16/03/2021 16:14:03,Very Important,Very Important,Very Important,5,"Preregister my research with a preregistration organization, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,"Physical Geography, Research Initiative for the Dynamic Global Environment","I really appreciated the ACRC ""Best Practices in Software Engineering"" course that they run, it helped me get a handle on how to make my code readable and shareable as I had never done this before. Perhaps advertising this/something similar broadly throughout Geography could be helpful (or running our own version)."
17/03/2021 11:13:57,Very Important,Very Important,Very Important,5,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,"Physical Geography, Research Initiative for the Dynamic Global Environment",
16/03/2021 16:22:10,Important,Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","No time (too much responsebilities, other...)","Physical Geography, Research Initiative for the Dynamic Global Environment","I think it is really important. I have tried to put the code and data for all of my published papers online e.g. on Bitbucket and OSF, however I rarely put in full working examples because of the time it takes to do this. Perhaps i am wrong, but I feel like it is a desirable thing to do, but not essential within the department and research field in general. I also have been working recently on re-running someone else's work in the department and I have found it quite illuminating how small mistakes can easily slip into lengthy code. I think it would be interesting (although obviously very time consuming) to at least occasionally code share within the department, helping to improve R+R but also to find errors before it is too late and they end up e.g. in papers."
19/03/2021 14:24:52,Very Important,Very Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform, Distribute software package on CRAN, pypi, etc about my research","No time (too much responsebilities, other...)",Glaciology Centre,
16/03/2021 20:51:11,Slightly Important,Slightly Important,Slightly Important,3,I havn't had a pubilishment yet.,"No time (too much responsebilities, other...)",Research Initiative for the Dynamic Global Environment,
16/03/2021 17:03:05,Very Important,Very Important,Very Important,5,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","No time (too much responsebilities, other...)","Physical Geography, Research Initiative for the Dynamic Global Environment","I have answered above with respect to my core research which is based on analysis of climate data (particularly climate models). However, I am also involved in interdisciplinary and transdisciplinary work, which is not designed to be replicable. I think it's important that it's recognised that some geographical research is designed to be replicable and some is not. Thank you!"
16/03/2021 16:25:05,Very Important,Important,Very Important,5,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","No time (too much responsebilities, other...), No restrictions","Physical Geography, Glaciology Centre","I would be very interested in attending R&R workshops. I don't have much experience of how things are done at Bristol, but I have benefited in the past from established data management infrastructure/staff. This has massively helped in collating and publishing data and the organisation of samples. "
17/03/2021 08:04:56,Important,Important,Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, I haven't done those things in the past and I am trying to improve","No time (too much responsebilities, other...), Precarious contracts and moving between jobs and institutions makes publishing research and data in an adequate manner more difficult. Also obtaining permissions from co-collaborators from work done years previously is a barrier.",Physical Geography,"I believe reproducibility and replicability is immensely important, but the context and practicalities of academic research add barriers - partly because code and data might be shared between colleagues without copyright information attached, partly moving between jobs, contracts, areas of research and countries, and general workload, means it falls by the way-side at the end of a project. Better training for PIs to ensure there is time throughout the project for appropriate coding practice and review, and training of research staff in formal software engineering to meet a basic standard are needed. There is no point in publishing code from a paper (e.g. on github) if it doesn't adequately explain how to use the code, dependancies, copyright and link to open-access data in exactly the right format."
16/03/2021 16:46:29,Very Important,Very Important,Very Important,4,I don't do any of that,Not interesting enough research,Quantitative Spatial Science,
17/03/2021 10:05:32,Very Important,Very Important,Very Important,4,I have not yet published,See above,Human Geography,
17/03/2021 10:20:31,Very Important,Very Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal",Sensitive research/data,"Physical Geography, Glaciology Centre",
16/03/2021 16:22:03,Very Important,Very Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",Sensitive research/data,"Human Geography, Quantitative Spatial Science",Always! It's part of the scientific collegiality and rigour to allow individuals to learn from and to scrutinize each other's work. 
17/03/2021 17:16:39,Very Important,Very Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform, zenodo",Sensitive research/data,"Physical Geography, Hydrology Group",I think the issue with developing better practice is that R&R is very bespoke to the research you are doing.
19/03/2021 16:56:58,Very Important,Moderately Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal","Sensitive research/data, Lack of skills, tools or knowledge of how to do that",Human Geography,
16/03/2021 16:19:24,Very Important,Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Sensitive research/data, Lack of skills, tools or knowledge of how to do that, My peers (the colaborators on my research do not have the skills, tools, knowldedge,...)","Physical Geography, Research Initiative for the Dynamic Global Environment",Would be  good to have a training course. So far everything has been very learning by doing and trial and error with R&R
16/03/2021 18:28:15,Moderately Important,Moderately Important,Moderately Important,3,I don't do any of that,"Sensitive research/data, Lack of skills, tools or knowledge of how to do that, No restrictions","Human Geography, Political Economy",
16/03/2021 21:46:03,Important,Important,Very Important,3,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive","Sensitive research/data, No time (too much responsebilities, other...)","Human Geography, Quantitative Spatial Science",
16/03/2021 16:43:49,Important,Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal","Sensitive research/data, No time (too much responsebilities, other...)",Physical Geography,
16/03/2021 16:23:43,Very Important,Slightly Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Sensitive research/data, No time (too much responsebilities, other...)",Hydrology Group,"I think it is great you are collecting responses on this! A seminar on R&R or perhaps a mini conference (say a half day with lots of short pop up talks and opportunity for breakout groups) on some good practices of R&R across the department would be helpful and inspiring i.e. how are we using github or data archives, who is good to talk to if I am interested in publishing my data? I don't think we place a lot of emphasis on it in the department currently so raising awareness would be a helpful first step. "
19/03/2021 10:43:46,Very Important,Very Important,Very Important,5,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform, Distribute software package on CRAN, pypi, etc about my research","Sensitive research/data, No time (too much responsebilities, other...)","Human Geography, Quantitative Spatial Science",
16/03/2021 16:56:39,Important,Important,Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Sensitive research/data, No time (too much responsebilities, other...)","Human Geography, Quantitative Spatial Science",
22/03/2021 09:03:39,Moderately Important,Important,Very Important,4,I don't do any of that,"No time (too much responsebilities, other...)",Physical Geography,
22/03/2021 09:03:42,Important,Moderately Important,Important,4,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",Sensitive research/data,Hydrology Group,
22/03/2021 09:03:59,Important,Important,Important,5,"Preregister my research with a preregistration organization, Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that, No time (too much responsebilities, other...)","Physical Geography, Glaciology Centre, Quantitative Spatial Science",
22/03/2021 09:04:06,Very Important,Very Important,Very Important,5,Make data avaliable on request ,"Lack of skills, tools or knowledge of how to do that",Hydrology Group,
22/03/2021 09:04:22,Very Important,Very Important,Very Important,5,"I don't do any of that, the above options are not relevant to methods in my field",copyright,"Human Geography, Historical and Cultural Research Group",
22/03/2021 09:04:29,Very Important,Very Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish my data in open access data archives including those funded by Government specifically for those programmes",No restrictions,Hydrology Group,I don't know if this is relevant.  My understanding is that we're already much stronger than other Geographical Sciences departments in this respect.
22/03/2021 09:04:35,Important,Very Important,Very Important,4,I don't do any of that,"Lack of skills, tools or knowledge of how to do that","Physical Geography, Political Economy",
22/03/2021 09:04:46,Slightly Important,Moderately Important,Moderately Important,3,I don't do any of that,"Lack of skills, tools or knowledge of how to do that","Human Geography, Physical Geography",
22/03/2021 09:10:46,Very Important,Very Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal",No restrictions,"Physical Geography, Research Initiative for the Dynamic Global Environment",
22/03/2021 09:11:04,Very Important,Moderately Important,Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",Sensitive research/data,"Physical Geography, Research Initiative for the Dynamic Global Environment",
22/03/2021 09:11:23,Very Important,Very Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Sensitive research/data, No time (too much responsebilities, other...)",Research Initiative for the Dynamic Global Environment,
22/03/2021 09:13:15,Important,Important,Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal",No restrictions,Research Initiative for the Dynamic Global Environment,
22/03/2021 09:13:37,Very Important,Very Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal","Lack of skills, tools or knowledge of how to do that, My peers (the colaborators on my research do not have the skills, tools, knowldedge,...), No time (too much responsebilities, other...)","Physical Geography, Research Initiative for the Dynamic Global Environment",Great to see this initiative.  Sharing good practice and raising the profile of open science is needed.  
22/03/2021 09:16:22,Not Important,Moderately Important,Moderately Important,1,I don't do any of that,No restrictions,"Human Geography, Political Economy",I use qualitative methods. Context matters a lot more to me that R&R. Happy to help by completing this but R&R is not really on my agenda. 
22/03/2021 09:18:58,Important,Important,Very Important,3,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that, No time (too much responsebilities, other...)","Physical Geography, Glaciology Centre",
22/03/2021 09:26:52,Very Important,Very Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive","Lack of skills, tools or knowledge of how to do that, My peers (the colaborators on my research do not have the skills, tools, knowldedge,...), No time (too much responsebilities, other...)","Physical Geography, Glaciology Centre","workshops on good practices in data generation and repositories (could range from the generation of wet lab analyses (e.g. methods, raw and processed data), in-group small repositories, to global data sharing)"
22/03/2021 09:27:00,Very Important,Very Important,Very Important,4,"Deposit data with data archives such as Figshare, Osf, or with the journal",Sensitive research/data,"Physical Geography, Glaciology Centre, Research Initiative for the Dynamic Global Environment",
22/03/2021 09:27:44,Very Important,Very Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform, Distribute software package on CRAN, pypi, etc about my research","No time (too much responsebilities, other...)","Physical Geography, Glaciology Centre",
22/03/2021 09:52:34,Very Important,Very Important,Very Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal",No restrictions,"Physical Geography, Glaciology Centre",
22/03/2021 09:52:55,Very Important,Moderately Important,Important,3,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,"Physical Geography, Glaciology Centre",
22/03/2021 09:55:40,Moderately Important,Important,Important,4,I don't do any of that,"Lack of skills, tools or knowledge of how to do that","Human Geography, Political Economy",
22/03/2021 10:04:39,Very Important,Moderately Important,Important,5,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform, Distribute software package on CRAN, pypi, etc about my research",Sensitive research/data,Human Geography,
22/03/2021 10:06:05,Very Important,Important,Important,5,"Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",Sensitive research/data,Research Initiative for the Dynamic Global Environment,"I think that R&R standards will change depending on the research field, so it may not be necessary to have strict standards unified by the department. (But, it may need R&R standards by each research group/Geography branch.)"
22/03/2021 10:09:12,Moderately Important,Very Important,Very Important,4,I don't do any of that,No restrictions,Physical Geography,
22/03/2021 10:54:23,Very Important,Very Important,Very Important,5,"Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform",No restrictions,"Physical Geography, Research Initiative for the Dynamic Global Environment",
22/03/2021 11:06:53,Moderately Important,Very Important,Very Important,4,I don't do any of that,"Sensitive research/data, No restrictions","Human Geography, Physical Geography",
22/03/2021 11:08:55,Moderately Important,Important,Very Important,3,I don't do any of that,"My peers (the colaborators on my research do not have the skills, tools, knowldedge,...), No time (too much responsebilities, other...)","Human Geography, Physical Geography",
22/03/2021 12:00:55,Slightly Important,Slightly Important,Slightly Important,5,I don't do any of that,"Lack of skills, tools or knowledge of how to do that",Human Geography,
22/03/2021 12:22:05,Not Important,Important,Important,1,I don't do any of that,No restrictions,"Human Geography, Political Economy","I have to say it's the first I've come across the terminology. It seems important, even if greased towards more scientific modes of research. I think human geographers could have a fruitful discussion about what it means for them."
22/03/2021 12:54:54,Important,Very Important,Very Important,3,I don't do any of that,"Lack of skills, tools or knowledge of how to do that",Political Economy,clarity
22/03/2021 14:43:34,Very Important,Very Important,Very Important,4,"Publish preprint on Arxiv, Osf, Eartharxiv, or other distribution service/open-access archive, Deposit data with data archives such as Figshare, Osf, or with the journal, Publish source code for paper on Github, Rpub, personal website or other publicly availiable platform","Lack of skills, tools or knowledge of how to do that","Physical Geography, Research Initiative for the Dynamic Global Environment",
23/03/2021 12:00:24,Not Important,Important,Important,1,I don't do any of that,Sensitive research/data,"Human Geography, Political Economy",
23/03/2021 12:56:05,Slightly Important,Slightly Important,Slightly Important,5,I don't do any of that,"Lack of skills, tools or knowledge of how to do that",Human Geography,
